,property_id,displayPrice,dateSold,tenure,newBuild
62,6d4fe9ec-62c5-4cdf-b68e-0f901c161f10,"£170,000",19 Aug 2005,Freehold,False
63,2a9480e0-ec10-4271-89ff-8a96eb6f3c94,"£485,000",17 Nov 2022,Freehold,False
64,2a9480e0-ec10-4271-89ff-8a96eb6f3c94,"£350,000",30 Jun 2017,Freehold,False
65,2a9480e0-ec10-4271-89ff-8a96eb6f3c94,"£250,000",10 Jun 2016,Freehold,False
66,d7449a78-6df9-4113-9863-d308af86e568,"£442,500",8 Nov 2022,Freehold,False
67,2b902d10-41ad-47b8-8be0-f996e2681c7f,"£230,000",7 Nov 2022,Freehold,False
68,2b902d10-41ad-47b8-8be0-f996e2681c7f,"£220,000",30 Mar 2012,Freehold,True
69,a6369763-1675-4098-abdb-a4a92b0f64d9,"£435,000",4 Nov 2022,Freehold,False
70,a6369763-1675-4098-abdb-a4a92b0f64d9,"£95,000",29 Jun 1998,Freehold,False
71,28e48d32-1a21-452e-b271-7bb22f635db6,"£375,000",28 Oct 2022,Freehold,False
72,28e48d32-1a21-452e-b271-7bb22f635db6,"£249,950",24 Apr 2008,Freehold,True
73,434077de-04db-4a28-b5fc-f94a74afa0bb,"£280,000",28 Oct 2022,Freehold,False
74,434077de-04db-4a28-b5fc-f94a74afa0bb,"£203,950",31 May 2016,Freehold,True
75,fe653afd-f95f-45b9-89b9-3a5b2e163214,"£240,000",20 Oct 2022,Freehold,False
76,fe653afd-f95f-45b9-89b9-3a5b2e163214,"£63,500",1 Oct 1999,Freehold,False
77,1db3beca-018a-43f4-b592-cfb3c6779c5f,"£210,000",14 Oct 2022,Freehold,False
78,1db3beca-018a-43f4-b592-cfb3c6779c5f,"£130,000",7 Jan 2011,Freehold,True
79,146bfd76-ba09-4a52-b6ef-7b1412049ebb,"£460,000",14 Oct 2022,Freehold,False
80,146bfd76-ba09-4a52-b6ef-7b1412049ebb,"£350,000",7 Mar 2019,Freehold,False
81,146bfd76-ba09-4a52-b6ef-7b1412049ebb,"£332,000",20 Sep 2016,Freehold,False
82,146bfd76-ba09-4a52-b6ef-7b1412049ebb,"£246,000",17 May 2006,Freehold,False
83,569a536d-8056-42bd-be66-5a7bcfe23815,"£295,000",14 Oct 2022,Freehold,False
84,569a536d-8056-42bd-be66-5a7bcfe23815,"£191,950",30 Jun 2016,Freehold,True
85,da2c4904-a83f-4671-a485-29eb26b41ccd,"£479,000",4 Oct 2022,Freehold,False
86,da2c4904-a83f-4671-a485-29eb26b41ccd,"£218,000",16 Jul 2003,Freehold,False
87,9bd83b18-6caf-49ca-a12f-633abb3d0569,"£320,000",30 Sep 2022,Freehold,False
88,9bd83b18-6caf-49ca-a12f-633abb3d0569,"£238,000",30 Jan 2018,Freehold,False
89,9bd83b18-6caf-49ca-a12f-633abb3d0569,"£212,000",15 Oct 2015,Freehold,False
90,9bd83b18-6caf-49ca-a12f-633abb3d0569,"£175,000",19 Dec 2008,Freehold,True
91,b869126c-57d5-4749-a0f1-f1f25046ca7c,"£105,000",30 Sep 2022,Leasehold,False
92,b869126c-57d5-4749-a0f1-f1f25046ca7c,"£71,000",7 Nov 2014,Leasehold,False
93,b869126c-57d5-4749-a0f1-f1f25046ca7c,"£65,000",19 Nov 2004,Leasehold,False
94,fb343440-e440-4251-821f-7a8c4af01059,"£445,000",23 Sep 2022,Freehold,False
95,b80c7a0b-a0d1-476a-9e9a-467ebb71dfbd,"£460,000",16 Sep 2022,Freehold,False
96,b80c7a0b-a0d1-476a-9e9a-467ebb71dfbd,"£375,000",25 Sep 2020,Freehold,True
97,0a469fdf-5d5b-4bd2-93ce-ee923ae083cd,"£1,400,000",16 Sep 2022,Freehold,False
98,3984d4c8-d605-4354-90ea-27aa5dd9f36e,"£650,000",9 Sep 2022,Freehold,False
99,3984d4c8-d605-4354-90ea-27aa5dd9f36e,"£490,000",3 Jan 2018,Freehold,False
100,e91a20a0-284f-4c20-92fc-4d0b077b1cfa,"£250,000",7 Sep 2022,Freehold,False
101,e91a20a0-284f-4c20-92fc-4d0b077b1cfa,"£135,000",7 May 2010,Freehold,False
102,e91a20a0-284f-4c20-92fc-4d0b077b1cfa,"£105,000",31 Jan 2003,Freehold,False
103,e91a20a0-284f-4c20-92fc-4d0b077b1cfa,"£38,500",5 Sep 1996,Freehold,False
104,ec751c2c-303f-4f2e-ba9a-15e43455bbfd,"£385,000",6 Sep 2022,Freehold,False
105,ec751c2c-303f-4f2e-ba9a-15e43455bbfd,"£270,000",17 Feb 2017,Freehold,False
106,e6c97d12-4b90-47b1-a0fa-a10bac279e1e,"£320,000",6 Sep 2022,Freehold,False
107,e6c97d12-4b90-47b1-a0fa-a10bac279e1e,"£142,000",11 Sep 2013,Freehold,False
108,e6c97d12-4b90-47b1-a0fa-a10bac279e1e,"£45,000",17 Apr 1997,Freehold,False
109,1fbc0509-40ff-4ad8-bddb-f1fdeacd4312,"£267,000",26 Aug 2022,Freehold,False
110,1fbc0509-40ff-4ad8-bddb-f1fdeacd4312,"£179,500",23 Mar 2007,Freehold,False
