,property_id,displayPrice,dateSold,tenure,newBuild
62,d19916b3-0859-4fed-9c14-cf17cb3f53b9,"£163,000",10 Feb 2023,Freehold,False
63,d19916b3-0859-4fed-9c14-cf17cb3f53b9,"£95,000",31 May 2019,Freehold,False
64,68852d7b-dacb-4a1d-a596-0600bebe95b1,"£210,000",7 Feb 2023,Freehold,False
65,1a2a1cb6-b1e5-40a1-a22b-108b319c2cbe,"£172,500",3 Feb 2023,Freehold,False
66,1a2a1cb6-b1e5-40a1-a22b-108b319c2cbe,"£79,000",5 Dec 2003,Freehold,False
67,3c37b3a9-a529-4e07-b1d0-48e41aa2f278,"£167,500",3 Feb 2023,Freehold,False
68,3c37b3a9-a529-4e07-b1d0-48e41aa2f278,"£138,000",28 Sep 2018,Freehold,False
69,3c37b3a9-a529-4e07-b1d0-48e41aa2f278,"£117,000",4 Sep 2014,Freehold,False
70,dad01ef4-26ea-4b3b-8358-51ee83091309,"£165,000",3 Feb 2023,Freehold,False
71,dad01ef4-26ea-4b3b-8358-51ee83091309,"£115,000",14 Oct 2016,Freehold,False
72,ddb1588d-ea0e-457b-a113-ee0418f0555f,"£145,000",3 Feb 2023,Freehold,False
73,1860aa7e-19a0-479e-8595-3b4164b36c41,"£156,500",2 Feb 2023,Freehold,False
74,1860aa7e-19a0-479e-8595-3b4164b36c41,"£58,000",8 Aug 2002,Freehold,False
75,ff0b0d61-f370-43ac-ba9d-86c689bcab02,"£343,000",2 Feb 2023,Freehold,False
76,ff0b0d61-f370-43ac-ba9d-86c689bcab02,"£233,000",26 May 2006,Freehold,False
77,ff0b0d61-f370-43ac-ba9d-86c689bcab02,"£195,950",9 Jul 2004,Freehold,True
78,f05b51d4-62e2-44d3-9228-50ee890ab941,"£175,000",1 Feb 2023,Freehold,False
79,f05b51d4-62e2-44d3-9228-50ee890ab941,"£150,000",24 May 2021,Freehold,False
80,f05b51d4-62e2-44d3-9228-50ee890ab941,"£125,000",6 May 2011,Freehold,True
